Model,Horizon,MSE,RMSE,MAE,MAPE
SimpleRNN (1-Day),1-Day,558.7377867005694,23.637634964195748,14.805384946335167,0.045511489140779994
SimpleRNN (5-Day),5-Day,1078.5583615941491,32.84141229597395,22.63353582398984,0.0704265705521122
SimpleRNN (10-Day),10-Day,1737.4698755550141,41.68296865093721,29.59680617573916,0.09223626760589843
Tuned LSTM (1-Day),1-Day,332.9323102455421,18.246432808786,11.412211757609226,0.03545748729341541
